N,Area,RelativeError,Run
8600,0.949604,0.0053856,8
8600,0.865948,0.0831841,9
9100,0.945504,0.00104524,0
9100,0.882471,0.0656911,1
9100,0.926274,0.019315,2
9100,0.952983,0.00896311,3
9100,0.942299,0.00234814,4
9100,1.01067,0.0700438,5
9100,0.943368,0.00121701,6
9100,0.969008,0.02593,7
9100,0.977555,0.034979,8
9100,0.940163,0.00461039,9
9600,0.942845,0.00177079,0
9600,0.952972,0.00895133,1
9600,0.961074,0.017529,2
9600,0.912463,0.0339371,3
9600,0.946896,0.00251806,4
9600,0.940819,0.00391521,5
9600,0.995506,0.0539842,6
9600,0.964112,0.0207457,7
9600,0.920565,0.0253595,8
9600,0.903348,0.0435871,9
10100,0.991465,0.049706,0
10100,0.942373,0.00226974,1
10100,1.00205,0.0609164,2
10100,0.897132,0.0501689,3
10100,0.967401,0.0242277,4
10100,0.926009,0.019595,5
10100,0.980877,0.0384955,6
10100,0.965475,0.0221894,7
10100,0.944299,0.000231477,8
10100,0.946224,0.00180679,9
10600,1.00982,0.0691368,0
10600,0.933692,0.0114612,1
10600,0.937361,0.00757692,2
10600,0.963042,0.0196128,3
10600,0.964876,0.0215549,4
10600,0.933692,0.0114612,5
10600,0.96029,0.0166996,6
10600,0.89517,0.0522457,7
10600,0.897922,0.0493325,8
10600,0.965793,0.0225259,9
11100,0.954696,0.010777,0
11100,0.969586,0.0265414,1
11100,0.959076,0.0154136,2
11100,0.925793,0.0198245,3
11100,0.95382,0.00984967,4
11100,0.91791,0.0281704,5
11100,0.896013,0.0513533,6
11100,0.919662,0.0263157,7
11100,0.954696,0.010777,8
11100,0.994986,0.0534336,9
11600,0.913546,0.032791,0
11600,0.955451,0.0115764,1
11600,0.955451,0.0115764,2
11600,0.944556,4.0877e-05,3
11600,0.921927,0.0239175,4
11600,0.96048,0.0169005,5
11600,0.928632,0.0168187,6
11600,0.983947,0.0417462,7
11600,0.899298,0.0478759,8
11600,1.01161,0.0710287,9
12100,0.962572,0.0191152,0
12100,1.00596,0.0650519,1
12100,0.960161,0.0165631,2
12100,0.924005,0.0217175,3
12100,0.945699,0.0012509,4
12100,0.930433,0.014912,5
12100,0.878206,0.0702063,6
12100,0.939271,0.00555455,7
12100,0.960161,0.0165631,8
12100,0.960161,0.0165631,9
12600,0.938263,0.00662127,0
12600,0.953695,0.00971719,1
12600,0.891967,0.0556367,2
12600,0.92206,0.0237767,3
12600,0.958325,0.0146187,4
12600,0.959096,0.0154357,5
12600,0.950609,0.0064495,6
12600,0.983016,0.0407603,7
12600,0.953695,0.00971719,8
12600,0.974528,0.0317741,9
13100,0.941043,0.00367786,0
13100,0.909131,0.0374648,1
13100,0.929911,0.015464,2
13100,0.944754,0.00025086,3
13100,0.940301,0.0044636,4
13100,0.937333,0.00760657,5
13100,0.940301,0.0044636,6
13100,0.958855,0.01518,7
13100,0.935106,0.0099638,8
13100,0.952176,0.00810829,9
13600,0.968639,0.0255391,0
13600,0.930037,0.0153311,1
13600,0.944334,0.000194009,2
13600,0.955057,0.0111588,3
13600,0.962206,0.0187274,4
13600,0.93933,0.005492,5
13600,0.942904,0.00170772,6
13600,0.941474,0.00322143,7
13600,0.935041,0.0100331,8
13600,0.917884,0.0281977,9
14100,0.963939,0.0205632,0
14100,0.973593,0.0307834,1
14100,0.974972,0.0322434,2
14100,0.923258,0.0225078,3
14100,0.958423,0.014723,4
14100,0.899815,0.0473284,5
14100,0.969456,0.0264033,6
14100,0.96325,0.0198331,7
14100,0.939117,0.00571744,8
14100,0.9205,0.0254279,9
14600,0.918942,0.0270779,0
14600,0.944912,0.000417696,1
14600,0.922271,0.0235528,2
14600,0.996186,0.0547039,3
14600,0.984866,0.0427187,4
14600,0.929596,0.0157977,5
14600,0.902294,0.0447033,6
14600,0.90629,0.0404732,7
14600,0.929596,0.0157977,8
14600,0.935589,0.00945253,9
15100,0.940021,0.0047602,0
15100,0.900102,0.0470238,1
15100,0.922637,0.0231653,2
15100,0.927144,0.0183936,3
15100,0.997968,0.0565902,4
15100,0.907829,0.0388438,5
15100,0.894308,0.0531589,6
15100,0.93809,0.00680522,7
15100,0.95483,0.0109182,8
15100,0.960624,0.0170533,9
15600,0.925473,0.0201633,0
15600,0.939183,0.00564725,1
15600,0.952271,0.00820903,2
15600,0.944792,0.000291155,3
15600,0.97346,0.030643,4
15600,0.954764,0.0108483,5
15600,0.972214,0.0293234,6
15600,0.960373,0.0167867,7
15600,0.927342,0.0181839,8
15600,0.968474,0.0253644,9
16100,0.948663,0.00438943,0
16100,0.926924,0.0186265,1
16100,0.942624,0.00200388,2
16100,0.947455,0.00311077,3
16100,0.970402,0.0274054,4
16100,0.939605,0.00520054,5
16100,0.935378,0.00967586,6
16100,0.901562,0.0454784,7
16100,0.956513,0.0127007,8
16100,0.940209,0.00456121,9
16600,0.938245,0.00664096,0
16600,0.954058,0.010101,1
16600,0.932388,0.0128417,2
16600,0.970457,0.0274631,3
16600,0.940587,0.00416066,4
16600,0.976313,0.0336639,5
16600,0.991541,0.0497858,6
16600,0.92946,0.0159421,7
16600,0.92536,0.0202826,8
16600,0.89959,0.0475659,9
17100,0.935258,0.00980297,0
17100,0.94606,0.00163395,1
17100,0.95004,0.00584756,2
17100,0.961411,0.0178864,3
17100,0.975625,0.032935,4
17100,0.912516,0.0338807,5
17100,0.973919,0.0311292,6
17100,0.92275,0.0230457,7
17100,0.971077,0.0281195,8
17100,0.943218,0.00137577,9
17600,0.977185,0.0345869,0
17600,0.905926,0.0408578,1
17600,0.96448,0.0211356,2
17600,0.93686,0.00810659,3
17600,0.889907,0.0578182,4
17600,0.972214,0.0293234,5
17600,0.930232,0.0151247,6
17600,0.93686,0.00810659,7
17600,0.970556,0.0275688,8
17600,0.945146,0.000666054,9
18100,0.946968,0.00259507,0
18100,0.974362,0.0315981,1
18100,0.934614,0.0104847,2
18100,0.929243,0.0161716,3
18100,0.932466,0.0127595,4
18100,0.939986,0.00479786,5
18100,0.937837,0.00707261,6
18100,0.951265,0.00714456,7
18100,0.93354,0.0116221,8
18100,0.940523,0.00422918,9
18600,0.95026,0.00608057,0
18600,0.933534,0.0116282,1
18600,0.957055,0.0132748,2
18600,0.926216,0.0193758,3
18600,0.990508,0.0486923,4
18600,0.984236,0.0420515,5
18600,0.972736,0.0298768,6
18600,0.914194,0.032104,7
18600,0.964373,0.0210224,8
18600,0.926216,0.0193758,9
19100,0.959488,0.0158505,0
19100,0.935056,0.0100173,1
19100,0.935056,0.0100173,2
19100,0.960506,0.0169284,3
19100,0.952362,0.00830575,4
19100,0.958979,0.0153116,5
19100,0.970178,0.0271677,6
19100,0.919785,0.0261847,7
19100,0.950326,0.0061501,8
19100,0.945236,0.000760976,9
19600,0.939972,0.00481237,0
19600,0.97519,0.0324743,1
19600,0.997511,0.0561068,2
19600,0.927075,0.0184667,3
19600,0.947412,0.0030651,4
19600,0.913682,0.0326461,5
19600,0.924595,0.0210925,6
19600,0.940468,0.00428721,7
19600,0.931043,0.0142653,8
19600,0.930051,0.0153157,9
20100,0.977534,0.0349565,0
20100,0.929165,0.0162537,1
20100,0.955768,0.0119119,2
20100,0.974148,0.0313718,3
20100,0.959154,0.0154966,4
20100,0.978018,0.0354686,5
20100,0.960605,0.0170329,6
20100,0.947062,0.00269409,7
20100,0.945127,0.000645686,8
20100,0.934486,0.0106205,9
20600,0.916996,0.0291382,0
20600,0.941537,0.0031553,1
20600,0.939177,0.00565366,2
20600,0.969382,0.0263253,3
20600,0.972214,0.0293234,4
20600,0.924075,0.0216431,5
20600,0.943425,0.00115661,6
20600,0.932098,0.0131487,7
20600,0.969854,0.026825,8
20600,0.897174,0.0501244,9
21100,0.924294,0.0214111,0
21100,0.984654,0.0424948,1
21100,0.946872,0.00249265,2
21100,0.919686,0.0262894,3
21100,0.950558,0.0063953,4
21100,0.954244,0.0102979,5
21100,0.953322,0.00932228,6
21100,0.947332,0.00298048,7
21100,0.962077,0.0185911,8
21100,0.917843,0.0282407,9
21600,0.964112,0.0207457,0
21600,0.944758,0.000254498,1
21600,0.968613,0.025511,2
21600,0.961861,0.018363,3
21600,0.969513,0.0264641,4
21600,0.983016,0.0407603,5
21600,0.942507,0.0021282,6
21600,0.911,0.0354859,7
21600,0.95601,0.012168,8
21600,0.936656,0.0083232,9
22100,0.957256,0.0134876,0
22100,0.948898,0.00463822,1
22100,0.964735,0.0214055,2
22100,0.942739,0.00188238,3
22100,0.919424,0.0265675,4
22100,0.962535,0.0190767,5
22100,0.932181,0.0130606,6
22100,0.917664,0.0284305,7
22100,0.929982,0.0153893,8
22100,0.958136,0.0144191,9
22600,0.93952,0.00529106,0
22600,0.929625,0.0157665,1
22600,0.915429,0.0307964,2
22600,0.900373,0.0467373,3
22600,0.959308,0.0156598,4
22600,0.950704,0.00655071,5
22600,0.94124,0.00346925,6
22600,0.960168,0.0165707,7
22600,0.949414,0.00518435,8
22600,0.947263,0.00290709,9
23100,0.959587,0.0159555,0
23100,0.933914,0.0112258,1
23100,0.925076,0.0205832,2
23100,0.945699,0.0012509,3
23100,0.946961,0.00258768,4
23100,0.94654,0.00214209,5
23100,0.958325,0.0146187,6
23100,0.927601,0.0179097,7
23100,0.914133,0.0321687,8
23100,0.917921,0.0281583,9
23600,0.945025,0.00053719,0
23600,0.959031,0.0153664,1
23600,0.967682,0.0245257,2
23600,0.919071,0.0269405,3
23600,0.896414,0.050929,4
23600,0.937609,0.00731358,5
23600,0.923603,0.0221428,6
23600,0.946672,0.00228181,7
23600,0.94832,0.00402642,8
23600,0.9545,0.0105687,9
24100,0.956481,0.0126663,0
24100,0.953253,0.00924941,1
24100,0.957287,0.0135205,2
24100,0.98835,0.0464076,3
24100,0.935503,0.00954321,4
24100,0.930259,0.0150956,5
24100,0.960515,0.0169373,6
24100,0.954464,0.0105307,7
24100,0.954867,0.0109578,8
24100,0.927032,0.0185124,9
24600,0.924789,0.0208875,0
24600,0.980908,0.0385287,1
24600,0.946525,0.00212578,2
24600,0.94613,0.00170736,3
24600,0.935064,0.0100085,4
24600,0.944944,0.000452087,5
24600,0.952453,0.00840215,6
24600,0.960357,0.0167706,7
24600,0.916094,0.0300929,8
24600,0.932693,0.0125191,9
25100,0.933867,0.0112755,0
25100,0.926121,0.0194772,1
25100,0.9451,0.000617123,2
25100,0.925733,0.0198873,3
25100,0.942001,0.00266359,4
25100,0.962918,0.0194812,5
25100,0.93348,0.0116855,6
25100,0.92767,0.0178369,7
25100,0.95091,0.00676846,8
25100,0.957107,0.0133299,9
25600,0.947528,0.00318819,0
25600,0.957782,0.0140443,1
25600,0.94563,0.00117779,2
25600,0.971074,0.0281171,3
25600,0.943351,0.00123469,4
25600,0.952086,0.00801314,5
25600,0.964238,0.0208797,6
25600,0.937654,0.00726588,7
25600,0.975632,0.0329421,8
25600,0.953985,0.0100235,9
26100,0.976311,0.0336615,0
26100,0.954334,0.0103933,1
26100,0.910379,0.0361432,2
26100,0.917457,0.02865,3
26100,0.957686,0.0139427,4
26100,0.942786,0.00183241,5
