N,Area,RelativeError,Run
8600,0.931465,0.0138188,6
8600,0.944828,0.000328973,7
8600,0.945417,0.000953139,8
8600,0.951116,0.00698674,9
9100,0.953829,0.00985835,0
9100,0.946586,0.00219004,1
9100,0.944729,0.000223803,2
9100,0.950486,0.00631913,3
9100,0.9451,0.00061705,4
9100,0.936557,0.00842763,5
9100,0.9425,0.00213568,6
9100,0.944171,0.000366068,7
9100,0.9464,0.00199341,8
9100,0.932286,0.01295,9
9600,0.931965,0.01329,0
9600,0.945344,0.000875118,1
9600,0.943935,0.000615944,2
9600,0.930204,0.0151538,3
9600,0.941823,0.00285254,4
9600,0.932493,0.0127308,5
9600,0.946224,0.00180703,6
9600,0.947456,0.00311171,7
9600,0.938654,0.00620742,8
9600,0.941647,0.00303892,9
10100,0.93954,0.00526997,0
10100,0.941213,0.00349842,1
10100,0.927827,0.0176709,2
10100,0.95644,0.0126228,3
10100,0.939038,0.00580144,4
10100,0.939707,0.00509282,5
10100,0.940209,0.00456135,6
10100,0.938703,0.00615575,7
10100,0.947571,0.00323351,8
10100,0.945061,0.000576168,9
10600,0.931892,0.0133673,0
10600,0.943052,0.00155137,1
10600,0.933645,0.0115105,2
10600,0.937791,0.00712175,3
10600,0.950705,0.006551,4
10600,0.953256,0.00925179,5
10600,0.939704,0.00509616,6
10600,0.955647,0.0117838,7
10600,0.945125,0.000643019,8
10600,0.945762,0.00131822,9
11100,0.94975,0.00553972,0
11100,0.931632,0.0136426,1
11100,0.943812,0.000746915,2
11100,0.943355,0.0012305,3
11100,0.939244,0.00558279,4
11100,0.944725,0.00022026,5
11100,0.941985,0.00268127,6
11100,0.947923,0.00360537,7
11100,0.938026,0.00687236,8
11100,0.955231,0.0113428,9
11600,0.936639,0.00834119,0
11600,0.946837,0.00245616,1
11600,0.947128,0.00276465,2
11600,0.949168,0.00492412,3
11600,0.943923,0.000628797,4
11600,0.926149,0.019447,5
11600,0.938678,0.00618172,6
11600,0.947274,0.0029189,7
11600,0.951645,0.00754633,8
11600,0.938824,0.00602747,9
12100,0.934249,0.0108716,0
12100,0.93788,0.00702689,1
12100,0.95045,0.00628176,2
12100,0.943048,0.00155556,3
12100,0.949612,0.00539451,4
12100,0.955898,0.0120488,5
12100,0.931874,0.0133855,6
12100,0.953383,0.00938711,7
12100,0.943327,0.00125981,8
12100,0.94207,0.00259068,9
12600,0.93795,0.00695296,0
12600,0.938889,0.00595891,1
12600,0.944656,0.000147338,2
12600,0.939157,0.0056749,3
12600,0.943852,0.000704697,4
12600,0.946937,0.00256144,5
12600,0.955252,0.0113658,6
12600,0.941974,0.00269278,7
12600,0.953509,0.00951973,8
12600,0.945998,0.0015674,9
13100,0.936982,0.00797735,0
13100,0.952076,0.00800319,1
13100,0.940079,0.00469929,2
13100,0.940337,0.00442612,3
13100,0.959043,0.0153788,4
13100,0.948206,0.00390562,5
13100,0.93337,0.0118018,6
13100,0.94124,0.00347002,7
13100,0.933757,0.011392,8
13100,0.95685,0.0130569,9
13600,0.950501,0.00633503,0
13600,0.957087,0.0133079,1
13600,0.948761,0.00449314,2
13600,0.950004,0.00580878,3
13600,0.940808,0.00392698,4
13600,0.938944,0.00590044,5
13600,0.949507,0.00528252,6
13600,0.942921,0.00169038,7
13600,0.949631,0.00541409,8
13600,0.943666,0.000900999,9
14100,0.956109,0.0122722,0
14100,0.934654,0.0104427,1
14100,0.939209,0.00562052,2
14100,0.943763,0.000798361,3
14100,0.951194,0.00706937,4
14100,0.941246,0.00346324,5
14100,0.943523,0.00105216,6
14100,0.952153,0.00808456,7
14100,0.948557,0.00427759,8
14100,0.938849,0.00600121,9
14600,0.942349,0.00229594,0
14600,0.949757,0.00554745,1
14600,0.936214,0.00879125,2
14600,0.937718,0.00719806,3
14600,0.94941,0.00517979,4
14600,0.951956,0.00787596,5
14600,0.943043,0.00156062,6
14600,0.94721,0.00285129,7
14600,0.935288,0.00977167,8
14600,0.944316,0.00021254,9
15100,0.937782,0.0071307,0
15100,0.936327,0.00867113,1
15100,0.935879,0.00914511,2
15100,0.941028,0.00369434,3
15100,0.938566,0.00630123,4
15100,0.94931,0.00507428,5
15100,0.944721,0.00021599,6
15100,0.939461,0.00535327,7
15100,0.949758,0.00554826,8
15100,0.94931,0.00507428,9
15600,0.952358,0.00830175,0
15600,0.941092,0.00362674,1
15600,0.945967,0.00153463,2
15600,0.94185,0.00282386,3
15600,0.946508,0.00210811,4
15600,0.94445,7.11325e-05,5
15600,0.932642,0.0125731,6
15600,0.935242,0.00982038,7
15600,0.945967,0.00153463,8
15600,0.946292,0.00187872,9
16100,0.943251,0.00134064,0
16100,0.942726,0.00189631,1
16100,0.932649,0.0125653,2
16100,0.943776,0.000784961,3
16100,0.951648,0.00755017,4
16100,0.948394,0.00410498,5
16100,0.950389,0.00621655,6
16100,0.94619,0.00177114,7
16100,0.943356,0.0012295,8
16100,0.951229,0.00710563,9
16600,0.939273,0.00555172,0
16600,0.94752,0.00317908,1
16600,0.944567,5.32378e-05,2
16600,0.943957,0.000593488,3
16600,0.951694,0.00759837,4
16600,0.943142,0.00145579,5
16600,0.941513,0.00318039,6
16600,0.936423,0.00856977,7
16600,0.950574,0.00641271,8
16600,0.943549,0.00102464,9
17100,0.942644,0.00198275,0
17100,0.955888,0.0120385,1
17100,0.945708,0.00126096,2
17100,0.945708,0.00126096,3
17100,0.942249,0.00240129,4
17100,0.943929,0.000622483,5
17100,0.945115,0.000633148,6
17100,0.945906,0.00147023,7
17100,0.945906,0.00147023,8
17100,0.946202,0.00178414,9
17600,0.940159,0.0046147,0
17600,0.94784,0.00351836,1
17600,0.958883,0.0152096,2
17600,0.948224,0.00392502,3
17600,0.936702,0.00827458,4
17600,0.941023,0.00369973,5
17600,0.954754,0.0108381,6
17600,0.937662,0.00725795,7
17600,0.941599,0.00308975,8
17600,0.93987,0.00491969,9
18100,0.958351,0.0146468,0
18100,0.944252,0.000280249,1
18100,0.943039,0.00156536,2
18100,0.956857,0.0130652,3
18100,0.939304,0.00551956,4
18100,0.950882,0.00673845,5
18100,0.938557,0.0063104,6
18100,0.948174,0.00387166,7
18100,0.945186,0.0007083,8
18100,0.943412,0.00116994,9
18600,0.944946,0.000454254,0
18600,0.955849,0.011998,1
18600,0.944765,0.000261859,2
18600,0.943129,0.0014697,3
18600,0.946582,0.00218581,4
18600,0.935042,0.0100313,5
18600,0.943129,0.0014697,6
18600,0.955304,0.0114208,7
18600,0.951761,0.00766907,8
18600,0.941312,0.00339365,9
19100,0.954186,0.0102372,0
19100,0.947196,0.00283653,1
19100,0.95162,0.00752049,2
19100,0.93826,0.00662508,3
19100,0.935959,0.00906074,4
19100,0.941003,0.00372102,5
19100,0.95109,0.00695842,6
19100,0.942949,0.00166008,7
19100,0.947108,0.00274285,8
19100,0.950028,0.00583426,9
19600,0.945365,0.00089794,0
19600,0.939933,0.0048533,1
19600,0.946659,0.00226728,2
19600,0.939588,0.00521846,3
19600,0.949504,0.00527984,4
19600,0.941313,0.00339267,5
19600,0.95166,0.00756207,6
19600,0.947435,0.00308889,7
19600,0.958471,0.0147739,8
19600,0.940537,0.00421427,9
20100,0.944466,5.40136e-05,0
20100,0.945811,0.00137028,1
20100,0.954808,0.0108953,2
20100,0.945307,0.000836172,3
20100,0.934881,0.0102021,4
20100,0.945811,0.00137028,5
20100,0.952201,0.0081357,6
20100,0.935133,0.00993508,7
20100,0.945139,0.000658135,8
20100,0.952622,0.00858079,9
20600,0.939755,0.00504208,0
20600,0.94599,0.00155912,1
20600,0.952635,0.00859462,2
20600,0.950666,0.00651003,3
20600,0.948287,0.00399115,4
20600,0.957639,0.013893,5
20600,0.955014,0.0111135,6
20600,0.926465,0.0191131,7
20600,0.943939,0.000612324,8
20600,0.944759,0.000256255,9
21100,0.940153,0.00462096,0
21100,0.949364,0.005131,1
21100,0.948482,0.00419821,2
21100,0.950965,0.006827,3
21100,0.943917,0.000635377,4
21100,0.94656,0.00216301,5
21100,0.941194,0.00351857,6
21100,0.939272,0.00555376,7
21100,0.935107,0.00996335,8
21100,0.949684,0.0054702,9
21600,0.955241,0.011354,0
21600,0.947182,0.00282178,1
21600,0.943349,0.00123722,2
21600,0.947808,0.00348448,3
21600,0.937324,0.00761565,4
21600,0.944522,5.33217e-06,5
21600,0.94108,0.00363949,6
21600,0.956258,0.0124308,7
21600,0.936933,0.00802983,8
21600,0.94061,0.00413651,9
22100,0.938524,0.00634574,0
22100,0.944106,0.000435464,1
22100,0.940665,0.00407878,2
22100,0.944335,0.000192576,3
22100,0.948388,0.00409844,4
22100,0.960547,0.0169715,5
22100,0.948847,0.00458422,6
22100,0.951141,0.0070131,7
22100,0.947012,0.00264112,8
22100,0.9412,0.00351204,9
22600,0.951186,0.00706038,0
22600,0.951635,0.00753541,1
22600,0.943932,0.000619242,2
22600,0.941315,0.00339024,3
22600,0.945951,0.00151839,4
22600,0.934286,0.0108324,5
22600,0.937202,0.00774467,6
22600,0.946624,0.00223093,7
22600,0.950288,0.00611033,8
22600,0.94797,0.00365601,9
23100,0.945449,0.000986464,0
23100,0.956496,0.0126826,1
23100,0.954667,0.0107461,2
23100,0.944205,0.000330318,3
23100,0.943839,0.000717607,4
23100,0.939596,0.00521016,5
23100,0.946985,0.00261308,6
23100,0.941132,0.00358354,7
23100,0.942449,0.0021893,8
